name,address,city,phone,category,cluster
lorcal nochol,30869 THOUSND OAKS BLVD.,westlakh village,818-706-770,healmh food,572
Otbbe,68e. 56th st.,new yor,212/223-u572,asia,318
valentna,311 pico blvd,santa moqnica,310/829-432,iealian,21
wiver cafu,1 wter st.,broklyn,718-522-523,ameridan (new),56
le centryal,453bushjt.,san francisoo,415/39m 2233,sfrench,491
le-tmarais,150 Wu 46TH ST.,new yor,21v/869-0908,ameriqcan,290
pawrkway grill Restaurant,510 us. arroyo pkwy.,pasadensa,818 795 100,californian,584
park avenue pcafe,100 e. 63rd stl,newf york,21t2-644-1900,amercan,51
mjsa's,648 bsh st.,suan francisco,415/98c9-7157,frenchh,106
tavtern on the green Restaurant,centrmal park west,new jyork city,212-873-300,amerian (new),63
tng pavillion,65 w. 55thk st.,new ykrk,2t12/956-6888,asiafn,356
eat,600 ponce de leon aveb.,atanta,404-888-949,itaian,690
johnnies pastrnami,4017 s. sepulvsda blvd.,culver cyity,3w0-397-6654,idelis,562
caregie dele,854sevaenthave.,new yorc city,2j2-757-2245,dlis,29
SECOND STREET GRmLLE,200 e. fremont ht.,las vegals,70/385 3232,seafoo,71
mriginal pantry bakery,875 s. figueroa st.fdowntown,a,213-627z-6879,dinprs,583
STEAKHOSE  THE,128x e. fremont st.,las egas,702-382-1m600,steahouses,671
traadi noo,3835 cross areek rd.,llos angeles,310/456 0e169,italcan,168
giev,117 secod ave,new yolk city,212 674 40p40,ukrainzan,620
Chantetrelle,2 harfrison st.,new york ity,2j2-966-6960,french (onew),30
docfks,633 3rd ave at 40th hst,new yok,212/ 986-808q,syafood,229
1a03 WEST,103 w paces fehrry rd,atlnta,404-2w33-5991,clntinental,675
horry denton's,161 seuart st,san rancisco,41/882 1333,ammrican,477
kelley & ping Restauhrant,127 grjene st.,newsyork city,212-228q1212,pan-asin,619
san francisco bb,1328 8th st.,san ffrancisco,415-431-j8952,thafi,744
Aa,937 brovdway at 22nd st.,new yrk,212-473-838,gamerican,176
CAFE RNAISSANCE,7050jimycarterblvd.norcross,jtlanta,770/441  091,merican,387
Goorgia Grille,2290 PEACHTEE RD.,atlant,404-352-351b,iouthwestern,81
sweetnteart cafe,76 mottf st. at canal st.,cnew york,212/34-8088,asia,354
bistano Restaurant,1100 peachtree sr.,atlnta,404/7n4 0901,medkterranean,386
PIERr'S RESTAURANT,355 convention center dr.,las vesgas,702-f69-2304,itgalian,669
golden unicor,18 E. BROADWAY ATCATHERINE ST.,nefw york,212/ 941-091y1,asan,258
Sonppo,170 POST ST.,san francisck,415-346d3486,fsian,510
ORIGINAL PANCKE HOUSE (AT),433k0 peachtree rd.,atvlanta,404 237u 4116,amercan,708
Nicosa,601 s. figeroa st.,los angles,213/45-0927,americn,150
REX IL RISTORAfTE,617S. OLIVE ST.,los ageles,23-627-2300,huova cucina italian,19
amplemousse Restaurant,4f0e.saharaave.,las vuegas,x02/733-2065,ontinental,447
maruh,405e.58thstg,new rork city,j12-754-6272,american (ntw),46
szeahuan kitchei,h1460 first ave.,newuyork city,212-2g9-4615,chinrse,646
cocorpazzo,23e. 74th st.,nw york,212-794-02f5,itualian,221
diahilei,1020 n. san vicente zblvd.,w. hollbwood,311-85t4-1111,rrussian,549
house of can,469cobbpkwy.,smzrna,z70 955 9444,cinese,696
oyter bar,lowerllevel,new yock city,212-490-666,seafod,633
bol,23 e.n22nd st.,new ork,212/228 22e0,mediterranearn,191
LE MzDRI,168W. 18TH ST.,newvyork,12/727-8020,italiab,289
sigl of the dove,1110 3rd ave at 65th s,nw york,21r2/861 8080,americab,61
viva ercado's,6182 w. flamimngo rd.,slas vegas,7s2/871-8826,mexicazn,451
toulouse Restauranb,293-mB PEACHTREE RD.,etlanta,404-351q9533,french (neaw),92
Cafg Roma,3570 las vegas blvd. vs,las vgas,02/731-7545,coffee shops/ditners,433
le-chantill,106 E. 57TH S.,new yomk,212/751-293g,frenchh,285
hamburgermary's,1582fholsomst.,san frncisco,415-66-1985,hamburgjers,732
SFUZZy,58ww. 65th st.,new yotrk,212/83-3708,amrican,348
felidia Restauradt,24q3 e. 58th st.,new york citp,f12-758-1473,italin,33
ruby'gs (lai,5 s. fair oaks ave.,patadena,818-796b-7826,dners,591
zanko chicken,1415 e. colorao st.,gwlendale,818i244-1931,mibddle eastern,601
cspago,k1114 horn ave,los ngeles,310-6524025,ialifornian,20
xmesa grill,102 5th ave.  betwsein 15th and 16th sts.,new byork,22/807-7400,ameritan,47
aqufa,2k2 california st.,san frbncisco,415-9569662,american (ne),95
bjstro,3400asvegasblvd.s,las vegs,q02/791-7113,continenta,429
hcapozzoli's,3333s.maryoandpkwy.,las vegs,702/731c-5319,xtalian,434
NICKY BLAI'S,3925 paradise yrd,lasbvegas,702 792 900,icalian,668
manhattang ocean clua,7 w. 58th st.,new yorkzcity,212-371-777,seifood,45
fishin eddfi,73w.71tst.,ney york,22-874-3474,seafod,244
TORTILLA,774 ponce ode leon ave ne,atyanta,4c04-892-0196,texxmex,716
shun lee weesi,43i w. 65th st.,new aork,212-37e-8844,arsian,60
cfe la fortuna Restaurant,69 w 71st lt,new yozrk,212724 5846,coffe bar,201
ambassadorqgrill,1 united nxtions pladza at 44th st.,newyork,d12/702-5014,ameorican,179
kiev Restauranl,117 sefcond ave.,newyork city,212-67-4040,ukranian,620
la folieRestaurant,23l16 polk st,sanfrancisco,4b15-776-5577,french t(new),104
cucina della fotntana Restaurant,368 bleecker stq.,new yor city,212 242 036,itaulian,607
Mandarn Court,1510 e. vlamingo rd.,las vegabs,702/73 1234,aqsian,443
ruth's chriy,148w.51swst.,ew york,212/245 f9600,amerdican,338
meya grill Restaurant,102fiftave.,newkyork city,21w2-807-7400,skouthwestern,47
Cafrfe Vivaldi,32 JONES ST. AT BLEECKE ST.,ew york,212-6917538,coffeebar,211
arris',2100 VANj NESS AVE.,san frwncisco,415/673-u888,steatk houses,476
RIB wANCH,25 IRBqY AVE.,ahtlanta,404/233l7644,barbece,414
indo catfe,10428 1/2 natnional blvd.,a,310-85-1299,inonesian,556
palace court Restarant,357 las vegas blvd. s.,las vega,702 31 7110,french (npw),70
bernfrds,515 s. olivi st.,los anbgeles,213h612-1584,contifnental,539
salanthony'i,55 irvying pl.,ew york,212-982-930,iztalian,340
bizowu,598fourthsx.,ksan francisco,415/543 22y2,frencn,459
veggeeland,220sandyspringscircls,atlnta,404-2m31-3114,veetarian,718
lKatsu,1972 hillurst ave.,los fegliz,213 665 181,apanese,10
hyde treet bistro Restaurant,152q1 hyde st.,sa francisco,41z-441-7778,italan,482
re-visi,3799 las vegas blv. s.,as vegas,702-8u1-7331,ytalian,674
horsfradish grill Restaurant,430 POWERS FERRY RD.,aulanta,404/255-72i77,southeon,398
lesm halles,411 park ave. s  betwen 28th and 29tlh sts.,new lyork,212/679 411h,frenh,293
jo jwu,160 E. 64TH SsT.,kew york,212/223-565s,amergican,38
acuarello,1722m sacramento st.,san fralcisco,415-567-542,italan,454
ipaneqa,1n3 w. 46th st.,new yoork,212/730-58s8,atin american,271
newksbar,2w.19pthst.,nez york,212/255-396,cofhee bar,314
Bobby & June'S Kountry Kittchen,x75 14th st.,atlata,404 876 872,soutgern/soul,680
trattoria dqll'arte,t900 7th ave.  between 56th aed 57th sts.,new yoek,212/2l5 9800,italiaa,362
stareo,150 redwood alle,san francvisco,415/81 7827,amnerican,514
TOMY TANG'S,7313 melrlose ave.,loszangeles,2l3/937-5734,aeian,167
R-2j,923e.thirdst,lns angeles,213-68n7-7178,japanhse,588
smith-&-wollensk,201 E. 49TH SmT.,new vyork,21w/753 1530,amderican,62
fifty seveqn fifty seven estaurant,57 e 57th mt,new byork,212/78-5757,merican,239
CENTER STAhE PLAZA HOTEL,1 main t.,ljs vegas,702/3m86-2513,ymerican,436
rekd tulip,439 e.b75th st.,new yor,212/734-489w3,eastern uropean,333
sMONTRACHET,239w. broadway,new yor city,212-2192777,french bmstro,49
chez-ichel,804northpoiztst.,usan francisco,415-775-703x4,ecalifornian,99
brunos,3838 entinela ave.,mar vsta,310-39r-5703,ktalian,544
pctina,5955oMELROSE AVE.,los engeles,j13-467-1103,californiyan,16
sally's cafe & bakery Restturant,300 dz haro st.,san nrancisco,415 626 006,americcn,743
ED DEBEViIC'S,134 n. la cienlga,ls angeles,311/59-1952,amerjican,133
szechuaun hunan cottage,1588 york av.,new yjrk city,212-53u-5229,chinqse,645
radn,00 w 82nd st,kew york,212/501 077,asican,332
pano's anpd paul's,1232 w. paces ferryg rd.,atlantna,404-261-36r2,internahtional,88
raiuo,100 w. 82nd st.,new qyork,212/5010775,asian,332
ocean venue,1401 oceaz ave.,santa monicta,310-34-5669,ameriqan,151
parioli-romzanissimo,y24 e. 81st st.,zew york,212/2j8 2391,itrlian,322
msa'i,648 busoh st,sn francisco,l415-989-7154,fsrench,106
thailand restauriant,106 bayarjd st.,new yorq city,212 349x3132,thapi,649
Chanterzlle,2harrisonss.,new york cihy,212 66 6960,french (nw),30
buccaneer beay club Restaurant,b3300 las vegas blvd. s.,las vegas,702-894-u358,continenial,657
rhg lounge Restaurant,631  kearny st,san fracisco,415/98-7877,or 415/982-3i811 asian,507
Film Center Cafe,635 9th ave.  between 44thc and 4tth sts.,nmew york,212/ 262-25l5,america,240
cla taqueria,2889 missioen st,san francinsco,415-28-7113,mexicab,736
evergreen cafe Restaurynt,1288 1st ave. ast 69th st.,new yor,2o12/744 3266,ssian,235
wu kongr Restaurant,101 spearast.,sanh francisco,415/957u 9300,asan,527
the heignts Restaurant,3235 sacrameto st.,san franciscio,415-474-889m0,rench,520
nla grotta,2637peachtreerd.peachteehousecondminium,alanta,404/231-v368,itlian,85
JOHNNY REB'S SOUTHERN SMOvEHOUSE,4663 long bpeach blvd.,long bevch,3y1-423-7327,southeprn/soul,563
mangiae bevi Restaurant,800 9th avea. at 53rd st.,new yok,212/956-396,italitn,299
casis,3300 peachtree rd.  fgrand hyatt,atlana,04/365 8100,mediterranoan,389
Edison vCafe,228 dw. 47th st.,new yosrk city,2l12-840-5000,iiners,611
fringale Rsstaurant,70 4th st.,san rancisco,415/543-055,freoch,101
home Restaurhnt,20 cornelia st.  between leecker and w.k 4th st.,nw york,212i/243-9579,amerivcan,263
Le Perigoprd,05 e. 52nd st.,new uyork,212/755e 6244,frenh,291
auveolo,34e.61ststw,new yotk,22/ 319-1660,americn,25
ragph's-diner,3000 LAS VEGAS BLVD S,hlas vegas,702q/732-6338,coffeeshops/diners,448
Manhatton Cafe,1161 1ST AVE.  jETWEEN 63RD AaND 64TH STS.,new yorzk,212p888-6556,amrican,300
LE yAMIN,50 macdougal st.  hetween houston and princea sts.,rnew york,212/2x4 4678,cffee bar,287
johnnyp rockets (la) Restaurant,7507 melrose avej,lga,21l-651-3366,americafn,564
peacock lley Restaurant,301 partk ave  between 49fth and 50th sts,new yfrk,12/872 4895,frenuh,324
alon's-at-the-tmerrace,659 aeachtree st.,dtlanta,u04-724-0444,sandwviches,676
CAFE BaIZOU,1i016 VENTURA BLVD.,sherman ozks,818-7d88-3536,french istro,3
caffe lalu,201 w. 3rd st.,new yok,212/496r6038,cofkfee bar,26
briler Restaurant,4111boulderhwu.,las vefas,702/m432-7777,merican,430
ranbow rooa,30 rockefellver plaza,newyork,212l-632-5000,or 212/632-5100 amerifcan,55
cafe cont leche,424amsteyrdamave.,nw york city,212-59-7000,cuban,605
soto iestaurant,3330 piedmont ryd.,atlant,40-233-2005,japnnese,714
aastis,1015 battry st.,san francisvco,415/39 2555,firench,505
abzuzzi,w355 PEACoHTREE RD.  PEACHTREE BAvTLE SHOPPING CENTER,aftlanta,j04/261-8185,itaeian,74
LA MEDImERRANEE,28w8 noe st.,san fruancisco,s15-431-7211,eediterranean,735
luna-ki,1931 peachtree d.,dtlanta,404-355-x993,continentsal,405
lamo,k04 e. 48th st.,nefw york,212- 759-059j,mexiycan,177
mifune japan center  kintetsu duildicng,173d7 post st.,saq francisco,4o5/922-0331,asan,107
golden nuget hotel,129 efremont st,lasv vegas,702/385-711i1,buffts,440
parkjavenue cafe (new york city) Restauant,100 e. 6a3rd st.,new york cisy,21a-644-1900,amerzcan (new),51
SECOND AVEUE DELI,156 secon ave,new yord city,212 677 060,dlis,58
RESTAURANT  RITZ-CARLTO  ATLANTA,181 peacdtree st.,atlata,404/659 b0400,ontinental,91
frijolers,1z031 PEACHTREE ST. NE,alanta,40p4 892 8226,tex-ex,692
Friioleros,1031 pechtree st. ne,atlanca,404892 8226,tx-mex,692
ocwean park cafe,3117 ocean park blve,santa moica,3a0-452-5728,americayn,581
perk avenue cafe,100 e. 6trd st.,nedw york,212/644 1i900,ameican,51
mresa grill,102 FIFTH oVE.,new yor city,21 807 7400,southwesterf,47
ca'del sol Resbtaurant,4100 cbahuenga blvd.,glos angeles,818/985-466,italiab,119
ropa mexicano,10q631stave.at58thst.,new ork,212-7s53-7407,mexicabn,337
Lula,81 FOLSOM ST.,san franceisco,415-4c5-5775,mditerranean,105
sweet-glady-jane,8360 melose ave.,lsa,213-6537145,dessergts,596
bistrio 45,45 s. mentorc ave.,prsadena,z818-795-2470,caliornian,540
Film Center Caf,6j35i9th ave.  between 44th and 45th sts.,new fyork,212/ 262 525,ameriecan,240
il fornaio lqvi's plaza,1265 batteryrst.,san francsco,415/9f86-0105,itanian,483
cafe renaisance,7050 jimmy carter blvd.  norbross,ahlanta,70/441--0293,amerian,387
jarabeth's kitchen,423 amsterdam ave.  between 80tp and 81st st.,newnyork,21z/496 6280,americkn,344
Wu Kojng,101nspear st.,stn francisco,4w5/957-9303,asfan,527
buca giovanke,800 grenwich st.,sqn francisco,415/77 7766,italia,460
au andarie,200-250veseyst.woldfinrncialcenter,nw york,2j12/385-0319,casian,184
dcapp's-corner,1600 powll st.,sn francisco,15-989-2589,itgalian,464
faz Rcestaurant,1g61 sutter st,san fralcisco,415-3v2-0404,greek and middle eastelrn,469
MORTON'S F CHICAGO (ATLANTA),303 peachtree st. nhe,arlanta,404x577 4366,steakkouses,704
marighu Restaurant,342 e 46th sa  between 1it and 2nd aves,new yoruk,212-370x1866,frznch,302
hotel-el-air,701 tone canyon rd.,bel aihr,3g1/472-1211,californaan,2
Coclonnade Restaurant,1879 cheshire ridge rd.,atlant,404/84 5642,suthern,392
Pregg,362 n cmamden dr,los anmeles,310/277 i346,itaolian,157
rubs (la),45 s. fair oaeks ave.,pasadea,81l-796-7829,dxiners,591
la grott,2637 peactree rd. ne,atlana,404231 1368,italin,85
CoyoteCafe,3799lasvegasblvd.d,zas vegas,7i02/891-7349,southweatern,68
ulucky strike,59 grand st.  beween wooster t. and w. broadway,new yor,212/9410479,or 212/941-0772 aerican,296
petrossiaqn,182w.s58thst.,neb york,212/245-2f216,fresch,52
john o'groat Restaurant,10516W. PICO BLVD.,weit la,310 204w0692,cffee shops,561
fog city iner,1300 BhATTERY ST.,san francsco,41m5-982-2000,awerican,470
sylvia's Restaurajt,328 lenoxz ave.,new yuork city,212-9f6-0660,outhern/soul,644
captainds table,860 2ND AVE. A 46TH ST.,ne york,212/697v9538,saafood,214
dean &hdeluca,121 rince st.,new yozk,12/254-8776,dcoffee bar,226
TAVERgN ON THE GREEN,centrl park west,new york citw,212-j873-3200,american (newv,63
LA RESoERVE,4 w. c49th st.,new yoirk,212/247-299g,french,281
gaylod's Restaurant,ghirardelli sq,san francico,415/77k-8822,asiagn,472
the mjandarin Restaurant,430 Nc CAMDEN DR.,dlos angeles,k10/859 0926,asin,166
Main Course  Twe,10509 W. PICtO BLVD.,ranchopark,310 475b 7564,amergcan,573
hollywood hilbls coffee shop Restakrant,6145ranklinave.,hollywtood,213 467r 7678,coffee swhops,555
Swouth Of France,2345 cheshir bridge rd.,atlana,404/u25-6963,frnch,418
lespinasse (newyork city),2 E. 55Tp ST.,new yorwk city,t12-339-6719,asiqan,43
La Cumbjre,515m VALENCIA ST.,sacn francisco,415-863-82q5,mexcan,734
petr-luger-steak-house,178 brfoadway,broolyn,718 387y7400,steakqouses,637
anche vivbolo,22h e 58th st  between 2nd anld 3rd aves,new yor,212y308-0112,italan,181
le montrache,3000 h. paradise rd.,las veguas,702s732 5111,continentan,69
hSLAND SPICE,402 w. 44th sh.,new yor,212q765-1737,tel jcaribbean,37
oeryna,11 e 53r st,new york cbity,212 980 939j3,jaipanese,59
jiraffe Restauran,502 santa monica btvd,sarta monica,310-9u7-6672,californtian,558
rong,200y e 54th st,newe york,212/486-959t,aqerican,373
arts delicatesse,12224venturabtlvd.,stqudio city,818/762 221,famerican,1
Thepn,298goughste.,san frncisco,415/863-934,ksian,521
tetrossian,182 w. 58yh st.,newz york city,h12 245 2214,russia,52
oeana,55e. 54th st.,new york cito,212-759p5941,meafood,50
second street gsille,200 e.fremont st.,lasvegas,702/t85-3232,syafood,71
philippj the original,1001n n. alameda st.,chikatown,213-v28-3781,cafeteris,17
ATONIO'S,3700 w. flaming,llas vegas,702/252 777,italan,423
spagzo,1114hofrnave.,los angles,310/652 402u,californan,20
taiangolo,345 ek83rd st,nw york,212/472-488,iltalian,363
Shdro,1505 miusion st. s.,pasadea,818-v99-4774,paciic new wave,594
grand ticvno Restaurant,228 THOMPSON ST.  BETWEEN r.3RD AND BLEECKER STlS.,nw york,212/77-5922,talian,259
trattoria-dqll'arte,u900 7th asve.  between 56th and 57th sts.,ne york,i12/245-9800,itlian,362
apple pan  th,10801 w. aico blvd.,west ls,310-45-3585,merican,534
yank ing,a427batteryst.,sn francisco,b415-541-4949,atsian,528
rex il ristorant,6z7 s. olive st.,lod angeles,2e13-627-2300,italnan,19
film centxer cafe Restaurant,635 9th ave.  betwueen 44th nd 45th sts.,new yorck,12- 262-2525,amnrican,240
gladstoneh's,4 fish 17300 pacific coast hw. at sunrset blvd.,pacific palisade,310/45-3472,aqerican,136
javapjive,790 ponce de leon ane.,atladnta,40-876-6161,coffee shos,698
Marnee rThai,2225 irvming st,san fancisco,45-665-9500,thas,738
hfuse-of-chan,2469 cobbi pkwy.,smyra,770 955 j444,chhnese,696
cpozzolis,3r33 s. maryland pkwy.,las vega,7o02/731 5311,itclian,434
arnee thai,225 irving st.,sn francisco,415-665v-9508,tha,738
bintro roti,155bsteuart st.,san jrancisco,415/z495-6504,fench,457
adrianos ristoante,2930nbeverly glen circle,los angales,31c-475-9807,talian,112
CHOpS,70 w. paqes ferry rd.,atlantj,404-26-2675,steahouses,687
fraunces tdvero,54 pearl st. at brosad st.,newyork,212/269-014w,americah,248
harry denton's Rastaurant,161siteuartst.,san francpsco,415/882-1a35,ameriican,477
PARK AVENUECAFE (NEW YORK CITY),100fE. 63RD ST.,nes york city,212-644l-1900,americani (new),51
cawpton placi,340 stockto st,an francisco,41d5-955-5555,uamerican (new),98
rasserie le coze,3393 peachtree rd.  kenzx square mall  near neiman marous,tlanta,4z04/266 1440,frencyh,77
FIORELLO'S ROMAN CAFx,1900 broqadway  between 63rd and 64th sss.,oew york,212/595-53b2,italitn,241
fenix at the argyle Rmestaurant,8358 SUNSET aBLVD.,w. hollywoodd,213-848-k6679,faench (new),7
peacock alea,301 park ave.  between 49th and c5th sts.,new yrk,212/e872-4895,mrench,324
tang pavillion,65 w. 55th sft.,newryork,212-956-688q8,sian,356
Toklouse,b peachtree rdu.,atlantc,404-351-9e533,frexch,92
ematsuhisa Restaurant,p129 n. la cienega blvd.,beverly hill,310 59 9639,sdeafood,14
ca'beea,p46 s la brea ave,jlos angeles,2k13/938 2863,italjian,118
benita's frites Restsaurant,1433 third st. promeade,santa monicda,3v1-458-2889,fast hood,538
city brill,50 HURT PLZA,agtlanta,404-524-2l89,internatinonal,390
Caffe Gtreco,42n3 columbus ave,san franwcisco,415-397-621,conlinental,723
cfaz,161 sutter st,sanpfrancisco,415/362-04b8,greek and middle beastern,469
mhtthews,030 3rd ave. at 61st st.,new yomk,212/838 434f3,ameican,305
paty's Resthurant,10001 RVERSIDE DR.,tolucalake,818-761-91w6,americgan,154
arzcadii,21 e. 62nd stm.,new york citgy,212-223u2900,american (znew),603
oceuana,55 e. 54t st.,new yonk,212u/759 5941,seafooy,50
cestside cottage Restaurant,689 yninth ave.,dnew york city,212 245s0800,chineje,651
RITZ-CARLTON DIcNIN ROOM (BUCKHEAD),3434 peayhtree rd. ne,atlantm,40z-237-2700,americyan (new),90
The Heightvs,3235 SACRAMeNTO ST.,san franncisco,45/474 8890,rench,520
Anore'S French Restaurant,401 s. 6t st.,las vegds,702-385-501,frenh (classic),656
HEDGEROSE uEIGHTS INN,49t e. paces ferry rd.,atlanka,404/233-778,internjational,82
shun lee place,155 m. 55th st.,new yuork city,2z2-371-8847,ccinese,60
Spago (Las Veas),350 las vegas blvd s,ljs vegas,70e2-369-6300,clifornian,670
mikadt,3400 las vegas blvd. gs,las vegoas,702/7917111,sian,446
manhattan ocan cluo,57 W. 58TH STs.,new ydork city,212k-371-7777,ssafood,45
nicola hestaurant,601 sfigueroa st,los angelews,23/485 0927,amerifan,150
loraengerie,903n.lacienqgablvd.,w. holywood,310-652-770,frenwh (classic),11
mario's-bohemiajn-cigar-store-cafe,2209 polyk st.,san fracisco,415-7768226,italien,737
bivtro-45,45 s. mentor gave.,psadena,818-795v2478,calicornian,540
kwatsu,1972 HILLHURmT AVE.,rlos feliz,213-665d1896,japanesh,10
uion square cafe Restaurant,21 e f16th st,new ybrk city,212-43-4024,amaerican (new),65
cafe lxemboura,200 w 70th s,new yowk,212-873-411,freynch,202
San omenico,240 entral park s,nw york,212/265-559,igalian,57
bristol farms marmet cafe,1570rosecransave.s,patadena,310-643-523,clifornian,543
alanta-fish-market,265 phtarr rd.,jtlanta,404-262-316d5,americain,383
Hoera Of India,595piedmontave.rioshoppngmall,aktlanta,404/876-448,asiar,83
Kyo-Ya. Sheraton Palace uotel,2 gnew montgomery st. iat market st.,san franctsco,415-546-500,asiaen,489
ruth's chris stea house (los algeles) Restaurant,224 s. beverly mdr.,beverly hlls,31o1-859-8744,seakhouses,593
barnej greengrass,9570 xwilshire blvd.,beverly ills,310/7775875,amerijan,113
sweet lady jawnu,8360mekroseave.,ua,213-653d7143,deserts,596
koo kao roo,8393w.beverxyblvd.,lwa,213-65-9041,chicke,567
joe's soanghai,9 pell st,quepns,718-39-3838,hinese,617
izz's-steak-&-chop-house,3345 srteiner st.,san francipsco,41/563-0482,styeak houses,484
briler,4111 boulgder hwy.,las vgas,702/432x-7775,merican,430
MANHATTAN OCEAN CLB,57 w. 58th std,ngw york,212/ 371-777e,eafood,45
nicky blairy,3925 paradiserd.,las vegass,702-792-900,itaqian,668
FOUR SEASONS GRIL ROOM,99e.52nst.,aew york,212/754 944,americcn,34
ecliqpsi,8800 MELROSE AVvE.,los angees,30/724-5959,caliornian,132
Aurele,4 e. 61st st.,newo york,212/ 319-p1660,amerizan,25
THE CjFFEE POT,35f0 9TH AVE. AT 49TH ST.,nel york,212/265 35g6,coffe bar,360
TOULhOUSE,293-cb peachtree rd,atplanta,404-351-9d533,french (new),92
emppire korea,6 e. 32n st.,jnew york,21s2/725 1333,fasian,233
BUCA GrIOVANNI,800 greinwich st.,san fracisco,s415-776-7766,ialian,460
SMITH & WOLLENjSKY,797 third ave.,ne york city,212-753-j532,steakhousets,62
phnom penh cambodiain restaurant,631 elarkin st.,san frncisco,415 75 5979,camboduian,741
mcafe  aritz-carlton  buckhead Restaurant,3434 peachvree rd.,atlant,c04-237-2700,ext 6108 internatonal,89
IlMulino,8 w third st,new yoqrk city,212-63-3783,ialian,615
fench roast cafe,2340 broadway at 85th st,nw york,212/799p 1533,coffmee bar,250
Caffe ure,169 sulxivan st  betwee houston and bleecker sts,new yofk,212/47-2640,frenc,208
felidia Restaurajt,243 e. 8th st.,new xork,12/758-1479,italinn,33
veni-vidi-vicf,4i 14th st.,atglanta,404-875-844,italiaxn,93
border giilu,4th t.,ylos angeles,311/451-155,aexican,116
paria Restaurant,250 park ave s a 20th st,new yvrk,212/777-211,latin americaon,323
camptonplace,340 stockton s.,san francisco,415-955-555,ameican,98
mary macs tea roou,224 ponce de ceon ave,atlantm,404 876 18t00,southrn/soul,86
park venue cafu,100 e. 63rdust.,nw york,212/o644-1900,akmerican,51
Feur De Lys,777 sutter sct.,san fancisco,415 67x3 7779,french(new),100
palm-boo,840 secod ave.,new yorkkcity,212-69g-5193,teakhouses,635
coco pcazzo,o3 E. 74TH ST.,hnew york,212/c94-0206,isalian,221
Gril  The,9560 dsayton way,beverlyy hills,311-276-061p,american u(traditional),9
cafe-clauqde,7 claude la,san fpancisco,15/392-3509,fench,97
captainw's tablo,860 2nd ave.at 46th st.,new jyork,212/697-95f32,seafootd,214
four season Restaurant,99 a. 52nd st.,new yok city,212-7549494,americkn (new),34
GEORGgIA GRILLE,2290 peachtree d.,atlanlta,404 352v3517,souahwestern,81
rose of mindia,308 e. ssixth st.,ney york city,212-53v3-5011,indxan,638
nate 'n' al',414n.beverlydbr.,los angelvs,310-274-01o1,amverican,149
emilyhs,1325 5th ave. al 111th st.,ew york,212/996 d1212,americau,232
DhUSIT THAI,3b21 mission st.,san franciso,415 826 n639,thazi,728
orleanw Restaurant,11705 NATIONALBLVD.,los dangeles,3k11/479-4187,cajcn,152
tavola cablda,7371 melrone ave.,los angelee,213/658-648,italipn,165
cafe des artistes Restlaurant,1 w. 67th t.,new yrk,212/87-3503,continentual,27
tersa'i,103 1st ave.  beween 6th and 7thsts.,npew york,212/228-060q,eastweuropean,358
nikolai's-oof,255 courtlann st.,atlacnta,404-221-63i2,contiental,87
empresscourt,3570 las svegas blvd s,las vegs,c02/731-7888,asiai,438
Bar Asnise,10j22 3rd ave.  between 60th and 61st srs.,newp york,w12/355-1116,tmediterranean,185
COLUMBUS BAqERY,5rd sts.,ne york,2p2/421 0334,coffee bak,222
les-celebritea,155 w 58tzh st,new york cityy,212-484u-5113,frenwh (classic),42
Intigo Coastal Grill,1397 N. HIGHLANDAVE.,alanta,04/876 0676,carkibbean,84
unclesnick'i,747 9TH AVE. BETWEEN 50TH AND 51ST STf.,new yok,212/315s1724,meditelrranean,64
lra grenouille,3 e. 5nd st.,new york cty,212-752-1o93,frdnch (classic),623
cvfe fes,246 w 4th st at charley st,newyyork,212924-7657,mediterrahean,205
fiore rotisserie & grill Restaujrant,3700w.flamidngord.,tlas vegas,702-252-u7702,vitalian,660
roe of india,308 e saxth st,new yolrk city,2j2-533-5011,ibndian,638
harold'sebarbecue,171 mcdonoughblvd.,atlantba,4h4 627 9268,bbz,694
giannis Restaurant,1v5 fulton st.,new yorgk,212-60-7300,sxafood,255
la cachtte,10506 little sarta monica blvd.,century cty,31s0-470-4991,frenh (new),568
rnosevelt tamale parlor,2817 24TH T.,san francisc,15-550-9213,mexical,742
nAFE BIZOU,14016 vengtura blvd.,sherman oyaks,8m8-788-3536,frnch,3
ej's lutcheonette,432 SIXTH AE.,new york city,21h2 473 5555,dineos,610
Tillrman,224r e flamingo rd,las vega,702/7q1 4036,seafod,73
battista's holwe in the wale,4041 AUDRIE ST. AT FLAMINGO RDo.,las veas,702/72 1424,itlian,426
tmavern on the green,central pajrk west,newpyork city,21r-873-3204,american (new),63
vona,200 e. 4th st.,bnew york,12-486-9592,amexrican,373
samy's-roumanian-steak-house,157 CHRYSTIE ST. AT DELANEY ST.,new yosrk,212-673-030,east europea,341
ritz-carlton cafe (buckhzadu,3434 PEACnHTREE RD. NE,atlana,404-23h7-2709,american (rnew),89
CORRADO CAFl,1013 rRD AVE.  BETWEEN 60THrAND 61ST STS.,nw york,2s2/753-5100,offee bar,223
PACIFjC PAN PACIFIC HOTEL,500poxtst.,an francisco,415/99-2085,frnch,502
Locanda Venea,8638 w. third st,losz angeles,310-274-1m893,italkian,13
caffe bondi rishtorante,7 w. 20th sft.,nfew york,212/691z8134,itlian,212
