name,address,city,phone,category,cluster,processed_name,processed_address,processed_city,processed_phone,processed_category,cluster_id
manhattang ocean clua,7 w. 58th st.,new yorkzcity,212-371-777,seifood,45,manhattang ocean clua,7 w 58th st,new yorkzcity,212371777,seifood,559
fishin eddfi,73w.71tst.,ney york,22-874-3474,seafod,244,fishin eddfi,73w71tst,ney york,228743474,seafod,560
TORTILLA,774 ponce ode leon ave ne,atyanta,4c04-892-0196,texxmex,716,tortilla,774 ponce ode leon ave ne,atyanta,4c048920196,texxmex,561
shun lee weesi,43i w. 65th st.,new aork,212-37e-8844,arsian,60,shun lee weesi,43i w 65th st,new aork,21237e8844,arsian,441
cfe la fortuna Restaurant,69 w 71st lt,new yozrk,212724 5846,coffe bar,201,cfe la fortuna restaurant,69 w 71st lt,new yozrk,212724 5846,coffe bar,509
ambassadorqgrill,1 united nxtions pladza at 44th st.,newyork,d12/702-5014,ameorican,179,ambassadorqgrill,1 united nxtions pladza at 44th st,newyork,d127025014,ameorican,98
kiev Restauranl,117 sefcond ave.,newyork city,212-67-4040,ukranian,620,kiev restauranl,117 sefcond ave,newyork city,212674040,ukranian,526
la folieRestaurant,23l16 polk st,sanfrancisco,4b15-776-5577,french t(new),104,la folierestaurant,23l16 polk st,sanfrancisco,4b157765577,french tnew,562
cucina della fotntana Restaurant,368 bleecker stq.,new yor city,212 242 036,itaulian,607,cucina della fotntana restaurant,368 bleecker stq,new yor city,212 242 036,itaulian,563
Mandarn Court,1510 e. vlamingo rd.,las vegabs,702/73 1234,aqsian,443,mandarn court,1510 e vlamingo rd,las vegabs,70273 1234,aqsian,564
ruth's chriy,148w.51swst.,ew york,212/245 f9600,amerdican,338,ruths chriy,148w51swst,ew york,212245 f9600,amerdican,493
meya grill Restaurant,102fiftave.,newkyork city,21w2-807-7400,skouthwestern,47,meya grill restaurant,102fiftave,newkyork city,21w28077400,skouthwestern,565
Cafrfe Vivaldi,32 JONES ST. AT BLEECKE ST.,ew york,212-6917538,coffeebar,211,cafrfe vivaldi,32 jones st at bleecke st,ew york,2126917538,coffeebar,497
arris',2100 VANj NESS AVE.,san frwncisco,415/673-u888,steatk houses,476,arris,2100 vanj ness ave,san frwncisco,415673u888,steatk houses,566
RIB wANCH,25 IRBqY AVE.,ahtlanta,404/233l7644,barbece,414,rib wanch,25 irbqy ave,ahtlanta,404233l7644,barbece,567
indo catfe,10428 1/2 natnional blvd.,a,310-85-1299,inonesian,556,indo catfe,10428 12 natnional blvd,a,310851299,inonesian,568
palace court Restarant,357 las vegas blvd. s.,las vega,702 31 7110,french (npw),70,palace court restarant,357 las vegas blvd s,las vega,702 31 7110,french npw,569
bernfrds,515 s. olivi st.,los anbgeles,213h612-1584,contifnental,539,bernfrds,515 s olivi st,los anbgeles,213h6121584,contifnental,570
salanthony'i,55 irvying pl.,ew york,212-982-930,iztalian,340,salanthonyi,55 irvying pl,ew york,212982930,iztalian,571
bizowu,598fourthsx.,ksan francisco,415/543 22y2,frencn,459,bizowu,598fourthsx,ksan francisco,415543 22y2,frencn,572
veggeeland,220sandyspringscircls,atlnta,404-2m31-3114,veetarian,718,veggeeland,220sandyspringscircls,atlnta,4042m313114,veetarian,573
lKatsu,1972 hillurst ave.,los fegliz,213 665 181,apanese,10,lkatsu,1972 hillurst ave,los fegliz,213 665 181,apanese,574
hyde treet bistro Restaurant,152q1 hyde st.,sa francisco,41z-441-7778,italan,482,hyde treet bistro restaurant,152q1 hyde st,sa francisco,41z4417778,italan,575
re-visi,3799 las vegas blv. s.,as vegas,702-8u1-7331,ytalian,674,revisi,3799 las vegas blv s,as vegas,7028u17331,ytalian,392
horsfradish grill Restaurant,430 POWERS FERRY RD.,aulanta,404/255-72i77,southeon,398,horsfradish grill restaurant,430 powers ferry rd,aulanta,40425572i77,southeon,576
lesm halles,411 park ave. s  betwen 28th and 29tlh sts.,new lyork,212/679 411h,frenh,293,lesm halles,411 park ave s betwen 28th and 29tlh sts,new lyork,212679 411h,frenh,577
jo jwu,160 E. 64TH SsT.,kew york,212/223-565s,amergican,38,jo jwu,160 e 64th sst,kew york,212223565s,amergican,369
acuarello,1722m sacramento st.,san fralcisco,415-567-542,italan,454,acuarello,1722m sacramento st,san fralcisco,415567542,italan,578
ipaneqa,1n3 w. 46th st.,new yoork,212/730-58s8,atin american,271,ipaneqa,1n3 w 46th st,new yoork,21273058s8,atin american,498
newksbar,2w.19pthst.,nez york,212/255-396,cofhee bar,314,newksbar,2w19pthst,nez york,212255396,cofhee bar,579
Bobby & June'S Kountry Kittchen,x75 14th st.,atlata,404 876 872,soutgern/soul,680,bobby junes kountry kittchen,x75 14th st,atlata,404 876 872,soutgernsoul,580
trattoria dqll'arte,t900 7th ave.  between 56th aed 57th sts.,new yoek,212/2l5 9800,italiaa,362,trattoria dqllarte,t900 7th ave between 56th aed 57th sts,new yoek,2122l5 9800,italiaa,581
stareo,150 redwood alle,san francvisco,415/81 7827,amnerican,514,stareo,150 redwood alle,san francvisco,41581 7827,amnerican,582
TOMY TANG'S,7313 melrlose ave.,loszangeles,2l3/937-5734,aeian,167,tomy tangs,7313 melrlose ave,loszangeles,2l39375734,aeian,38
R-2j,923e.thirdst,lns angeles,213-68n7-7178,japanhse,588,r2j,923ethirdst,lns angeles,21368n77178,japanhse,19
smith-&-wollensk,201 E. 49TH SmT.,new vyork,21w/753 1530,amderican,62,smithwollensk,201 e 49th smt,new vyork,21w753 1530,amderican,583
fifty seveqn fifty seven estaurant,57 e 57th mt,new byork,212/78-5757,merican,239,fifty seveqn fifty seven estaurant,57 e 57th mt,new byork,212785757,merican,182
CENTER STAhE PLAZA HOTEL,1 main t.,ljs vegas,702/3m86-2513,ymerican,436,center stahe plaza hotel,1 main t,ljs vegas,7023m862513,ymerican,584
rekd tulip,439 e.b75th st.,new yor,212/734-489w3,eastern uropean,333,rekd tulip,439 eb75th st,new yor,212734489w3,eastern uropean,585
sMONTRACHET,239w. broadway,new yor city,212-2192777,french bmstro,49,smontrachet,239w broadway,new yor city,2122192777,french bmstro,27
chez-ichel,804northpoiztst.,usan francisco,415-775-703x4,ecalifornian,99,chezichel,804northpoiztst,usan francisco,415775703x4,ecalifornian,128
brunos,3838 entinela ave.,mar vsta,310-39r-5703,ktalian,544,brunos,3838 entinela ave,mar vsta,31039r5703,ktalian,39
pctina,5955oMELROSE AVE.,los engeles,j13-467-1103,californiyan,16,pctina,5955omelrose ave,los engeles,j134671103,californiyan,586
sally's cafe & bakery Restturant,300 dz haro st.,san nrancisco,415 626 006,americcn,743,sallys cafe bakery restturant,300 dz haro st,san nrancisco,415 626 006,americcn,587
ED DEBEViIC'S,134 n. la cienlga,ls angeles,311/59-1952,amerjican,133,ed debeviics,134 n la cienlga,ls angeles,311591952,amerjican,588
szechuaun hunan cottage,1588 york av.,new yjrk city,212-53u-5229,chinqse,645,szechuaun hunan cottage,1588 york av,new yjrk city,21253u5229,chinqse,589
radn,00 w 82nd st,kew york,212/501 077,asican,332,radn,00 w 82nd st,kew york,212501 077,asican,590
pano's anpd paul's,1232 w. paces ferryg rd.,atlantna,404-261-36r2,internahtional,88,panos anpd pauls,1232 w paces ferryg rd,atlantna,40426136r2,internahtional,94
raiuo,100 w. 82nd st.,new qyork,212/5010775,asian,332,raiuo,100 w 82nd st,new qyork,2125010775,asian,590
ocean venue,1401 oceaz ave.,santa monicta,310-34-5669,ameriqan,151,ocean venue,1401 oceaz ave,santa monicta,310345669,ameriqan,167
parioli-romzanissimo,y24 e. 81st st.,zew york,212/2j8 2391,itrlian,322,parioliromzanissimo,y24 e 81st st,zew york,2122j8 2391,itrlian,591
msa'i,648 busoh st,sn francisco,l415-989-7154,fsrench,106,msai,648 busoh st,sn francisco,l4159897154,fsrench,520
thailand restauriant,106 bayarjd st.,new yorq city,212 349x3132,thapi,649,thailand restauriant,106 bayarjd st,new yorq city,212 349x3132,thapi,592
Chanterzlle,2harrisonss.,new york cihy,212 66 6960,french (nw),30,chanterzlle,2harrisonss,new york cihy,212 66 6960,french nw,527
buccaneer beay club Restaurant,b3300 las vegas blvd. s.,las vegas,702-894-u358,continenial,657,buccaneer beay club restaurant,b3300 las vegas blvd s,las vegas,702894u358,continenial,22
rhg lounge Restaurant,631  kearny st,san fracisco,415/98-7877,or 415/982-3i811 asian,507,rhg lounge restaurant,631 kearny st,san fracisco,415987877,or 4159823i811 asian,593
Film Center Cafe,635 9th ave.  between 44thc and 4tth sts.,nmew york,212/ 262-25l5,america,240,film center cafe,635 9th ave between 44thc and 4tth sts,nmew york,212 26225l5,america,594
cla taqueria,2889 missioen st,san francinsco,415-28-7113,mexicab,736,cla taqueria,2889 missioen st,san francinsco,415287113,mexicab,595
evergreen cafe Restaurynt,1288 1st ave. ast 69th st.,new yor,2o12/744 3266,ssian,235,evergreen cafe restaurynt,1288 1st ave ast 69th st,new yor,2o12744 3266,ssian,596
wu kongr Restaurant,101 spearast.,sanh francisco,415/957u 9300,asan,527,wu kongr restaurant,101 spearast,sanh francisco,415957u 9300,asan,597
the heignts Restaurant,3235 sacrameto st.,san franciscio,415-474-889m0,rench,520,the heignts restaurant,3235 sacrameto st,san franciscio,415474889m0,rench,598
nla grotta,2637peachtreerd.peachteehousecondminium,alanta,404/231-v368,itlian,85,nla grotta,2637peachtreerdpeachteehousecondminium,alanta,404231v368,itlian,599
JOHNNY REB'S SOUTHERN SMOvEHOUSE,4663 long bpeach blvd.,long bevch,3y1-423-7327,southeprn/soul,563,johnny rebs southern smovehouse,4663 long bpeach blvd,long bevch,3y14237327,southeprnsoul,340
mangiae bevi Restaurant,800 9th avea. at 53rd st.,new yok,212/956-396,italitn,299,mangiae bevi restaurant,800 9th avea at 53rd st,new yok,212956396,italitn,600
casis,3300 peachtree rd.  fgrand hyatt,atlana,04/365 8100,mediterranoan,389,casis,3300 peachtree rd fgrand hyatt,atlana,04365 8100,mediterranoan,434
Edison vCafe,228 dw. 47th st.,new yosrk city,2l12-840-5000,iiners,611,edison vcafe,228 dw 47th st,new yosrk city,2l128405000,iiners,601
fringale Rsstaurant,70 4th st.,san rancisco,415/543-055,freoch,101,fringale rsstaurant,70 4th st,san rancisco,415543055,freoch,602
home Restaurhnt,20 cornelia st.  between leecker and w.k 4th st.,nw york,212i/243-9579,amerivcan,263,home restaurhnt,20 cornelia st between leecker and wk 4th st,nw york,212i2439579,amerivcan,603
Le Perigoprd,05 e. 52nd st.,new uyork,212/755e 6244,frenh,291,le perigoprd,05 e 52nd st,new uyork,212755e 6244,frenh,604
auveolo,34e.61ststw,new yotk,22/ 319-1660,americn,25,auveolo,34e61ststw,new yotk,22 3191660,americn,605
ragph's-diner,3000 LAS VEGAS BLVD S,hlas vegas,702q/732-6338,coffeeshops/diners,448,ragphsdiner,3000 las vegas blvd s,hlas vegas,702q7326338,coffeeshopsdiners,606
Manhatton Cafe,1161 1ST AVE.  jETWEEN 63RD AaND 64TH STS.,new yorzk,212p888-6556,amrican,300,manhatton cafe,1161 1st ave jetween 63rd aand 64th sts,new yorzk,212p8886556,amrican,402
LE yAMIN,50 macdougal st.  hetween houston and princea sts.,rnew york,212/2x4 4678,cffee bar,287,le yamin,50 macdougal st hetween houston and princea sts,rnew york,2122x4 4678,cffee bar,607
johnnyp rockets (la) Restaurant,7507 melrose avej,lga,21l-651-3366,americafn,564,johnnyp rockets la restaurant,7507 melrose avej,lga,21l6513366,americafn,233
peacock lley Restaurant,301 partk ave  between 49fth and 50th sts,new yfrk,12/872 4895,frenuh,324,peacock lley restaurant,301 partk ave between 49fth and 50th sts,new yfrk,12872 4895,frenuh,608
alon's-at-the-tmerrace,659 aeachtree st.,dtlanta,u04-724-0444,sandwviches,676,alonsatthetmerrace,659 aeachtree st,dtlanta,u047240444,sandwviches,609
CAFE BaIZOU,1i016 VENTURA BLVD.,sherman ozks,818-7d88-3536,french istro,3,cafe baizou,1i016 ventura blvd,sherman ozks,8187d883536,french istro,610
caffe lalu,201 w. 3rd st.,new yok,212/496r6038,cofkfee bar,26,caffe lalu,201 w 3rd st,new yok,212496r6038,cofkfee bar,347
briler Restaurant,4111boulderhwu.,las vefas,702/m432-7777,merican,430,briler restaurant,4111boulderhwu,las vefas,702m4327777,merican,373
ranbow rooa,30 rockefellver plaza,newyork,212l-632-5000,or 212/632-5100 amerifcan,55,ranbow rooa,30 rockefellver plaza,newyork,212l6325000,or 2126325100 amerifcan,352
cafe cont leche,424amsteyrdamave.,nw york city,212-59-7000,cuban,605,cafe cont leche,424amsteyrdamave,nw york city,212597000,cuban,611
soto iestaurant,3330 piedmont ryd.,atlant,40-233-2005,japnnese,714,soto iestaurant,3330 piedmont ryd,atlant,402332005,japnnese,612
aastis,1015 battry st.,san francisvco,415/39 2555,firench,505,aastis,1015 battry st,san francisvco,41539 2555,firench,613
abzuzzi,w355 PEACoHTREE RD.  PEACHTREE BAvTLE SHOPPING CENTER,aftlanta,j04/261-8185,itaeian,74,abzuzzi,w355 peacohtree rd peachtree bavtle shopping center,aftlanta,j042618185,itaeian,614
LA MEDImERRANEE,28w8 noe st.,san fruancisco,s15-431-7211,eediterranean,735,la medimerranee,28w8 noe st,san fruancisco,s154317211,eediterranean,615
luna-ki,1931 peachtree d.,dtlanta,404-355-x993,continentsal,405,lunaki,1931 peachtree d,dtlanta,404355x993,continentsal,283
lamo,k04 e. 48th st.,nefw york,212- 759-059j,mexiycan,177,lamo,k04 e 48th st,nefw york,212 759059j,mexiycan,616
mifune japan center  kintetsu duildicng,173d7 post st.,saq francisco,4o5/922-0331,asan,107,mifune japan center kintetsu duildicng,173d7 post st,saq francisco,4o59220331,asan,225
golden nuget hotel,129 efremont st,lasv vegas,702/385-711i1,buffts,440,golden nuget hotel,129 efremont st,lasv vegas,702385711i1,buffts,617
parkjavenue cafe (new york city) Restauant,100 e. 6a3rd st.,new york cisy,21a-644-1900,amerzcan (new),51,parkjavenue cafe new york city restauant,100 e 6a3rd st,new york cisy,21a6441900,amerzcan new,519
SECOND AVEUE DELI,156 secon ave,new yord city,212 677 060,dlis,58,second aveue deli,156 secon ave,new yord city,212 677 060,dlis,356
RESTAURANT  RITZ-CARLTO  ATLANTA,181 peacdtree st.,atlata,404/659 b0400,ontinental,91,restaurant ritzcarlto atlanta,181 peacdtree st,atlata,404659 b0400,ontinental,618
frijolers,1z031 PEACHTREE ST. NE,alanta,40p4 892 8226,tex-ex,692,frijolers,1z031 peachtree st ne,alanta,40p4 892 8226,texex,619
Friioleros,1031 pechtree st. ne,atlanca,404892 8226,tx-mex,692,friioleros,1031 pechtree st ne,atlanca,404892 8226,txmex,619
ocwean park cafe,3117 ocean park blve,santa moica,3a0-452-5728,americayn,581,ocwean park cafe,3117 ocean park blve,santa moica,3a04525728,americayn,81
perk avenue cafe,100 e. 6trd st.,nedw york,212/644 1i900,ameican,51,perk avenue cafe,100 e 6trd st,nedw york,212644 1i900,ameican,519
mresa grill,102 FIFTH oVE.,new yor city,21 807 7400,southwesterf,47,mresa grill,102 fifth ove,new yor city,21 807 7400,southwesterf,620
ca'del sol Resbtaurant,4100 cbahuenga blvd.,glos angeles,818/985-466,italiab,119,cadel sol resbtaurant,4100 cbahuenga blvd,glos angeles,818985466,italiab,621
ropa mexicano,10q631stave.at58thst.,new ork,212-7s53-7407,mexicabn,337,ropa mexicano,10q631staveat58thst,new ork,2127s537407,mexicabn,622
Lula,81 FOLSOM ST.,san franceisco,415-4c5-5775,mditerranean,105,lula,81 folsom st,san franceisco,4154c55775,mditerranean,205
sweet-glady-jane,8360 melose ave.,lsa,213-6537145,dessergts,596,sweetgladyjane,8360 melose ave,lsa,2136537145,dessergts,623
bistrio 45,45 s. mentorc ave.,prsadena,z818-795-2470,caliornian,540,bistrio 45,45 s mentorc ave,prsadena,z8187952470,caliornian,624
Film Center Caf,6j35i9th ave.  between 44th and 45th sts.,new fyork,212/ 262 525,ameriecan,240,film center caf,6j35i9th ave between 44th and 45th sts,new fyork,212 262 525,ameriecan,594
il fornaio lqvi's plaza,1265 batteryrst.,san francsco,415/9f86-0105,itanian,483,il fornaio lqvis plaza,1265 batteryrst,san francsco,4159f860105,itanian,625
cafe renaisance,7050 jimmy carter blvd.  norbross,ahlanta,70/441--0293,amerian,387,cafe renaisance,7050 jimmy carter blvd norbross,ahlanta,704410293,amerian,626
jarabeth's kitchen,423 amsterdam ave.  between 80tp and 81st st.,newnyork,21z/496 6280,americkn,344,jarabeths kitchen,423 amsterdam ave between 80tp and 81st st,newnyork,21z496 6280,americkn,362
Wu Kojng,101nspear st.,stn francisco,4w5/957-9303,asfan,527,wu kojng,101nspear st,stn francisco,4w59579303,asfan,597
buca giovanke,800 grenwich st.,sqn francisco,415/77 7766,italia,460,buca giovanke,800 grenwich st,sqn francisco,41577 7766,italia,627
au andarie,200-250veseyst.woldfinrncialcenter,nw york,2j12/385-0319,casian,184,au andarie,200250veseystwoldfinrncialcenter,nw york,2j123850319,casian,444
dcapp's-corner,1600 powll st.,sn francisco,15-989-2589,itgalian,464,dcappscorner,1600 powll st,sn francisco,159892589,itgalian,126
faz Rcestaurant,1g61 sutter st,san fralcisco,415-3v2-0404,greek and middle eastelrn,469,faz rcestaurant,1g61 sutter st,san fralcisco,4153v20404,greek and middle eastelrn,342
MORTON'S F CHICAGO (ATLANTA),303 peachtree st. nhe,arlanta,404x577 4366,steakkouses,704,mortons f chicago atlanta,303 peachtree st nhe,arlanta,404x577 4366,steakkouses,628
marighu Restaurant,342 e 46th sa  between 1it and 2nd aves,new yoruk,212-370x1866,frznch,302,marighu restaurant,342 e 46th sa between 1it and 2nd aves,new yoruk,212370x1866,frznch,65
hotel-el-air,701 tone canyon rd.,bel aihr,3g1/472-1211,californaan,2,hotelelair,701 tone canyon rd,bel aihr,3g14721211,californaan,629
Coclonnade Restaurant,1879 cheshire ridge rd.,atlant,404/84 5642,suthern,392,coclonnade restaurant,1879 cheshire ridge rd,atlant,40484 5642,suthern,176
Pregg,362 n cmamden dr,los anmeles,310/277 i346,itaolian,157,pregg,362 n cmamden dr,los anmeles,310277 i346,itaolian,123
rubs (la),45 s. fair oaeks ave.,pasadea,81l-796-7829,dxiners,591,rubs la,45 s fair oaeks ave,pasadea,81l7967829,dxiners,554
la grott,2637 peactree rd. ne,atlana,404231 1368,italin,85,la grott,2637 peactree rd ne,atlana,404231 1368,italin,599
CoyoteCafe,3799lasvegasblvd.d,zas vegas,7i02/891-7349,southweatern,68,coyotecafe,3799lasvegasblvdd,zas vegas,7i028917349,southweatern,196
ulucky strike,59 grand st.  beween wooster t. and w. broadway,new yor,212/9410479,or 212/941-0772 aerican,296,ulucky strike,59 grand st beween wooster t and w broadway,new yor,2129410479,or 2129410772 aerican,630
petrossiaqn,182w.s58thst.,neb york,212/245-2f216,fresch,52,petrossiaqn,182ws58thst,neb york,2122452f216,fresch,631
john o'groat Restaurant,10516W. PICO BLVD.,weit la,310 204w0692,cffee shops,561,john ogroat restaurant,10516w pico blvd,weit la,310 204w0692,cffee shops,496
fog city iner,1300 BhATTERY ST.,san francsco,41m5-982-2000,awerican,470,fog city iner,1300 bhattery st,san francsco,41m59822000,awerican,214
sylvia's Restaurajt,328 lenoxz ave.,new yuork city,212-9f6-0660,outhern/soul,644,sylvias restaurajt,328 lenoxz ave,new yuork city,2129f60660,outhernsoul,632
captainds table,860 2ND AVE. A 46TH ST.,ne york,212/697v9538,saafood,214,captainds table,860 2nd ave a 46th st,ne york,212697v9538,saafood,633
dean &hdeluca,121 rince st.,new yozk,12/254-8776,dcoffee bar,226,dean hdeluca,121 rince st,new yozk,122548776,dcoffee bar,634
TAVERgN ON THE GREEN,centrl park west,new york citw,212-j873-3200,american (newv,63,tavergn on the green,centrl park west,new york citw,212j8733200,american newv,521
LA RESoERVE,4 w. c49th st.,new yoirk,212/247-299g,french,281,la resoerve,4 w c49th st,new yoirk,212247299g,french,635
gaylod's Restaurant,ghirardelli sq,san francico,415/77k-8822,asiagn,472,gaylods restaurant,ghirardelli sq,san francico,41577k8822,asiagn,636
the mjandarin Restaurant,430 Nc CAMDEN DR.,dlos angeles,k10/859 0926,asin,166,the mjandarin restaurant,430 nc camden dr,dlos angeles,k10859 0926,asin,370
Main Course  Twe,10509 W. PICtO BLVD.,ranchopark,310 475b 7564,amergcan,573,main course twe,10509 w picto blvd,ranchopark,310 475b 7564,amergcan,637
hollywood hilbls coffee shop Restakrant,6145ranklinave.,hollywtood,213 467r 7678,coffee swhops,555,hollywood hilbls coffee shop restakrant,6145ranklinave,hollywtood,213 467r 7678,coffee swhops,638
Swouth Of France,2345 cheshir bridge rd.,atlana,404/u25-6963,frnch,418,swouth of france,2345 cheshir bridge rd,atlana,404u256963,frnch,202
lespinasse (newyork city),2 E. 55Tp ST.,new yorwk city,t12-339-6719,asiqan,43,lespinasse newyork city,2 e 55tp st,new yorwk city,t123396719,asiqan,309
La Cumbjre,515m VALENCIA ST.,sacn francisco,415-863-82q5,mexcan,734,la cumbjre,515m valencia st,sacn francisco,41586382q5,mexcan,639
petr-luger-steak-house,178 brfoadway,broolyn,718 387y7400,steakqouses,637,petrlugersteakhouse,178 brfoadway,broolyn,718 387y7400,steakqouses,376
anche vivbolo,22h e 58th st  between 2nd anld 3rd aves,new yor,212y308-0112,italan,181,anche vivbolo,22h e 58th st between 2nd anld 3rd aves,new yor,212y3080112,italan,321
le montrache,3000 h. paradise rd.,las veguas,702s732 5111,continentan,69,le montrache,3000 h paradise rd,las veguas,702s732 5111,continentan,13
hSLAND SPICE,402 w. 44th sh.,new yor,212q765-1737,tel jcaribbean,37,hsland spice,402 w 44th sh,new yor,212q7651737,tel jcaribbean,640
oeryna,11 e 53r st,new york cbity,212 980 939j3,jaipanese,59,oeryna,11 e 53r st,new york cbity,212 980 939j3,jaipanese,91
jiraffe Restauran,502 santa monica btvd,sarta monica,310-9u7-6672,californtian,558,jiraffe restauran,502 santa monica btvd,sarta monica,3109u76672,californtian,154
rong,200y e 54th st,newe york,212/486-959t,aqerican,373,rong,200y e 54th st,newe york,212486959t,aqerican,238
arts delicatesse,12224venturabtlvd.,stqudio city,818/762 221,famerican,1,arts delicatesse,12224venturabtlvd,stqudio city,818762 221,famerican,641
Thepn,298goughste.,san frncisco,415/863-934,ksian,521,thepn,298goughste,san frncisco,415863934,ksian,642
tetrossian,182 w. 58yh st.,newz york city,h12 245 2214,russia,52,tetrossian,182 w 58yh st,newz york city,h12 245 2214,russia,375
oeana,55e. 54th st.,new york cito,212-759p5941,meafood,50,oeana,55e 54th st,new york cito,212759p5941,meafood,502
second street gsille,200 e.fremont st.,lasvegas,702/t85-3232,syafood,71,second street gsille,200 efremont st,lasvegas,702t853232,syafood,643
philippj the original,1001n n. alameda st.,chikatown,213-v28-3781,cafeteris,17,philippj the original,1001n n alameda st,chikatown,213v283781,cafeteris,644
ATONIO'S,3700 w. flaming,llas vegas,702/252 777,italan,423,atonios,3700 w flaming,llas vegas,702252 777,italan,645
spagzo,1114hofrnave.,los angles,310/652 402u,californan,20,spagzo,1114hofrnave,los angles,310652 402u,californan,555
taiangolo,345 ek83rd st,nw york,212/472-488,iltalian,363,taiangolo,345 ek83rd st,nw york,212472488,iltalian,226
Shdro,1505 miusion st. s.,pasadea,818-v99-4774,paciic new wave,594,shdro,1505 miusion st s,pasadea,818v994774,paciic new wave,390
grand ticvno Restaurant,228 THOMPSON ST.  BETWEEN r.3RD AND BLEECKER STlS.,nw york,212/77-5922,talian,259,grand ticvno restaurant,228 thompson st between r3rd and bleecker stls,nw york,212775922,talian,264
trattoria-dqll'arte,u900 7th asve.  between 56th and 57th sts.,ne york,i12/245-9800,itlian,362,trattoriadqllarte,u900 7th asve between 56th and 57th sts,ne york,i122459800,itlian,581
apple pan  th,10801 w. aico blvd.,west ls,310-45-3585,merican,534,apple pan th,10801 w aico blvd,west ls,310453585,merican,461
yank ing,a427batteryst.,sn francisco,b415-541-4949,atsian,528,yank ing,a427batteryst,sn francisco,b4155414949,atsian,85
rex il ristorant,6z7 s. olive st.,lod angeles,2e13-627-2300,italnan,19,rex il ristorant,6z7 s olive st,lod angeles,2e136272300,italnan,646
film centxer cafe Restaurant,635 9th ave.  betwueen 44th nd 45th sts.,new yorck,12- 262-2525,amnrican,240,film centxer cafe restaurant,635 9th ave betwueen 44th nd 45th sts,new yorck,12 2622525,amnrican,594
gladstoneh's,4 fish 17300 pacific coast hw. at sunrset blvd.,pacific palisade,310/45-3472,aqerican,136,gladstonehs,4 fish 17300 pacific coast hw at sunrset blvd,pacific palisade,310453472,aqerican,240
javapjive,790 ponce de leon ane.,atladnta,40-876-6161,coffee shos,698,javapjive,790 ponce de leon ane,atladnta,408766161,coffee shos,647
Marnee rThai,2225 irvming st,san fancisco,45-665-9500,thas,738,marnee rthai,2225 irvming st,san fancisco,456659500,thas,418
hfuse-of-chan,2469 cobbi pkwy.,smyra,770 955 j444,chhnese,696,hfuseofchan,2469 cobbi pkwy,smyra,770 955 j444,chhnese,545
cpozzolis,3r33 s. maryland pkwy.,las vega,7o02/731 5311,itclian,434,cpozzolis,3r33 s maryland pkwy,las vega,7o02731 5311,itclian,557
arnee thai,225 irving st.,sn francisco,415-665v-9508,tha,738,arnee thai,225 irving st,sn francisco,415665v9508,tha,418
bintro roti,155bsteuart st.,san jrancisco,415/z495-6504,fench,457,bintro roti,155bsteuart st,san jrancisco,415z4956504,fench,12
adrianos ristoante,2930nbeverly glen circle,los angales,31c-475-9807,talian,112,adrianos ristoante,2930nbeverly glen circle,los angales,31c4759807,talian,648
CHOpS,70 w. paqes ferry rd.,atlantj,404-26-2675,steahouses,687,chops,70 w paqes ferry rd,atlantj,404262675,steahouses,649
fraunces tdvero,54 pearl st. at brosad st.,newyork,212/269-014w,americah,248,fraunces tdvero,54 pearl st at brosad st,newyork,212269014w,americah,650
harry denton's Rastaurant,161siteuartst.,san francpsco,415/882-1a35,ameriican,477,harry dentons rastaurant,161siteuartst,san francpsco,4158821a35,ameriican,530
PARK AVENUECAFE (NEW YORK CITY),100fE. 63RD ST.,nes york city,212-644l-1900,americani (new),51,park avenuecafe new york city,100fe 63rd st,nes york city,212644l1900,americani new,651
cawpton placi,340 stockto st,an francisco,41d5-955-5555,uamerican (new),98,cawpton placi,340 stockto st,an francisco,41d59555555,uamerican new,652
rasserie le coze,3393 peachtree rd.  kenzx square mall  near neiman marous,tlanta,4z04/266 1440,frencyh,77,rasserie le coze,3393 peachtree rd kenzx square mall near neiman marous,tlanta,4z04266 1440,frencyh,275
FIORELLO'S ROMAN CAFx,1900 broqadway  between 63rd and 64th sss.,oew york,212/595-53b2,italitn,241,fiorellos roman cafx,1900 broqadway between 63rd and 64th sss,oew york,21259553b2,italitn,653
fenix at the argyle Rmestaurant,8358 SUNSET aBLVD.,w. hollywoodd,213-848-k6679,faench (new),7,fenix at the argyle rmestaurant,8358 sunset ablvd,w hollywoodd,213848k6679,faench new,654
peacock alea,301 park ave.  between 49th and c5th sts.,new yrk,212/e872-4895,mrench,324,peacock alea,301 park ave between 49th and c5th sts,new yrk,212e8724895,mrench,608
tang pavillion,65 w. 55th sft.,newryork,212-956-688q8,sian,356,tang pavillion,65 w 55th sft,newryork,212956688q8,sian,21
Toklouse,b peachtree rdu.,atlantc,404-351-9e533,frexch,92,toklouse,b peachtree rdu,atlantc,4043519e533,frexch,171
ematsuhisa Restaurant,p129 n. la cienega blvd.,beverly hill,310 59 9639,sdeafood,14,ematsuhisa restaurant,p129 n la cienega blvd,beverly hill,310 59 9639,sdeafood,655
ca'beea,p46 s la brea ave,jlos angeles,2k13/938 2863,italjian,118,cabeea,p46 s la brea ave,jlos angeles,2k13938 2863,italjian,656
